X,Y,Z
-1.496906,0.02913182,-3.222339
-1.496082,0.0317737,-3.221668
-1.496906,0.0317737,-3.222339
-1.496082,0.00799676,-3.221668
-1.495577,0.01063864,-3.220732
-1.495577,0.00799676,-3.220732
-1.496082,0.01063864,-3.221668
-1.495577,0.01328053,-3.220732
-1.496082,0.01328053,-3.221668
-1.495577,0.01592241,-3.220732
-1.496082,0.01592241,-3.221668
-1.495577,0.01856429,-3.220732
-1.496082,0.01856429,-3.221668
-1.495577,0.02120618,-3.220732
-1.496082,0.02120618,-3.221668
-1.495577,0.02384806,-3.220732
-1.496082,0.02384806,-3.221668
-1.495577,0.02648994,-3.220732
-1.496082,0.02648994,-3.221668
-1.495577,0.02913182,-3.220732
-1.496082,0.02913182,-3.221668
-1.495577,0.03177371,-3.220732
-1.496082,0.0317737,-3.221668
-1.495577,0.00799676,-3.220732
-1.495469,0.01063864,-3.219674
-1.495469,0.00799676,-3.219674
-1.495577,0.01063864,-3.220732
-1.495469,0.01328053,-3.219674
-1.495577,0.01328053,-3.220732
-1.495469,0.01592241,-3.219674
-1.495577,0.01592241,-3.220732
-1.495469,0.01856429,-3.219674
-1.495577,0.01856429,-3.220732
-1.495469,0.02120618,-3.219674
-1.495577,0.02120618,-3.220732
-1.495469,0.02384806,-3.219674
-1.495577,0.02384806,-3.220732
-1.495469,0.02648994,-3.219674
-1.495577,0.02648994,-3.220732
-1.495469,0.02913182,-3.219674
-1.495577,0.02913182,-3.220732
-1.495469,0.0317737,-3.219674
-1.495577,0.03177371,-3.220732
-1.495469,0.00799676,-3.219674
-1.495774,0.01063864,-3.218655
-1.495774,0.00799676,-3.218655
-1.495469,0.01063864,-3.219674
-1.495774,0.01328053,-3.218655
-1.495469,0.01328053,-3.219674
-1.495774,0.01592241,-3.218655
-1.495469,0.01592241,-3.219674
-1.495774,0.01856429,-3.218655
-1.495469,0.01856429,-3.219674
-1.495774,0.02120618,-3.218655
-1.495469,0.02120618,-3.219674
-1.495774,0.02384806,-3.218655
-1.495469,0.02384806,-3.219674
-1.495774,0.02648994,-3.218655
-1.495469,0.02648994,-3.219674
-1.495774,0.02913182,-3.218655
-1.495469,0.02913182,-3.219674
-1.495774,0.0317737,-3.218655
-1.495469,0.0317737,-3.219674
-1.495774,0.00799676,-3.218655
-1.496445,0.01063864,-3.217831
-1.496445,0.00799676,-3.217831
-1.495774,0.01063864,-3.218655
-1.496445,0.01328053,-3.217831
-1.495774,0.01328053,-3.218655
-1.496445,0.01592241,-3.217831
-1.495774,0.01592241,-3.218655
-1.496445,0.01856429,-3.217831
-1.495774,0.01856429,-3.218655
-1.496445,0.02120618,-3.217831
-1.495774,0.02120618,-3.218655
-1.496445,0.02384806,-3.217831
-1.495774,0.02384806,-3.218655
-1.496445,0.02648994,-3.217831
-1.495774,0.02648994,-3.218655
-1.496445,0.02913182,-3.217831
-1.495774,0.02913182,-3.218655
-1.496445,0.03177371,-3.217831
-1.495774,0.0317737,-3.218655
-1.496445,0.00799676,-3.217831
-1.497381,0.01063864,-3.217326
-1.497381,0.00799676,-3.217326
-1.496445,0.01063864,-3.217831
-1.497381,0.01328053,-3.217326
-1.496445,0.01328053,-3.217831
-1.497381,0.01592241,-3.217326
-1.496445,0.01592241,-3.217831
-1.497381,0.01856429,-3.217326
-1.496445,0.01856429,-3.217831
-1.497381,0.02120618,-3.217326
-1.496445,0.02120618,-3.217831
-1.497381,0.02384806,-3.217326
-1.496445,0.02384806,-3.217831
-1.497381,0.02648994,-3.217326
-1.496445,0.02648994,-3.217831
-1.497381,0.02913182,-3.217326
-1.496445,0.02913182,-3.217831
-1.497381,0.0317737,-3.217326
-1.496445,0.03177371,-3.217831
-1.497381,0.00799676,-3.217326
-1.498438,0.01063864,-3.217218
-1.498438,0.00799676,-3.217218
-1.497381,0.01063864,-3.217326
-1.498438,0.01328053,-3.217218
-1.497381,0.01328053,-3.217326
-1.498438,0.01592241,-3.217218
-1.497381,0.01592241,-3.217326
-1.498438,0.01856429,-3.217218
-1.497381,0.01856429,-3.217326
-1.498438,0.02120618,-3.217218
-1.497381,0.02120618,-3.217326
-1.498438,0.02384806,-3.217218
-1.497381,0.02384806,-3.217326
-1.498438,0.02648994,-3.217218
-1.497381,0.02648994,-3.217326
-1.498438,0.02913182,-3.217218
-1.497381,0.02913182,-3.217326
-1.498438,0.0317737,-3.217218
-1.497381,0.0317737,-3.217326
-1.498438,0.00799676,-3.217218
-1.499457,0.01063864,-3.217523
-1.499457,0.00799676,-3.217523
-1.498438,0.01063864,-3.217218
-1.499457,0.01328053,-3.217523
-1.498438,0.01328053,-3.217218
-1.499457,0.01592241,-3.217523
-1.498438,0.01592241,-3.217218
-1.499457,0.01856429,-3.217523
-1.498438,0.01856429,-3.217218
-1.499457,0.02120618,-3.217523
-1.498438,0.02120618,-3.217218
-1.499457,0.02384806,-3.217523
-1.498438,0.02384806,-3.217218
-1.499457,0.02648994,-3.217523
-1.498438,0.02648994,-3.217218
-1.499457,0.02913182,-3.217523
-1.498438,0.02913182,-3.217218
-1.499457,0.0317737,-3.217523
-1.498438,0.0317737,-3.217218
-1.499457,0.00799676,-3.217523
-1.500282,0.01063864,-3.218194
-1.500282,0.00799676,-3.218194
-1.499457,0.01063864,-3.217523
-1.500282,0.01328053,-3.218194
-1.499457,0.01328053,-3.217523
-1.500282,0.01592241,-3.218194
-1.499457,0.01592241,-3.217523
-1.500282,0.01856429,-3.218194
-1.499457,0.01856429,-3.217523
-1.500282,0.02120618,-3.218194
-1.499457,0.02120618,-3.217523
-1.500282,0.02384806,-3.218194
-1.499457,0.02384806,-3.217523
-1.500282,0.02648994,-3.218194
-1.499457,0.02648994,-3.217523
-1.500282,0.02913182,-3.218194
-1.499457,0.02913182,-3.217523
-1.500282,0.0317737,-3.218194
-1.499457,0.0317737,-3.217523
-1.498438,0.0317737,-3.217218
-1.497381,0.0317737,-3.217326
-1.496445,0.03177371,-3.217831
-1.495774,0.0317737,-3.218655
-1.499457,0.0317737,-3.217523
-1.500282,0.0317737,-3.218194
-1.495469,0.0317737,-3.219674
-1.500786,0.0317737,-3.21913
-1.495577,0.03177371,-3.220732
-1.496082,0.0317737,-3.221668
-1.500895,0.0317737,-3.220188
-1.50059,0.0317737,-3.221206
-1.496906,0.0317737,-3.222339
-1.499918,0.0317737,-3.222031
-1.497925,0.03177371,-3.222644
-1.498983,0.0317737,-3.222535
